cust_id	Inv_1M_Bef	satis_survey	cust_age	cust_tenure	tottrans	months_since_survey	Inv_3M_Aft	Inv_Chg	categ
397783	3201	4	33.097878166	0.4654346338	3	3	3200	-1	good
399706	1525	5	60.807665982	0.2162902122	29	3	254	-1271	good
401531	3345	1	22.428473648	5.5058179329	56	3	3640	295	bad
402397	7364	5	18.242299795	0.3997262149	9	3	11023	3659	good
402956	1211	2	52.013689254	2.5352498289	77	3	66	-1145	bad
403566	4022	2	24.862422998	2.0232717317	20	3	6758	2736	bad
404335	725	1	32.969199179	0.9199178645	98	3	928	203	bad
406868	29228	4	59.8275154	2.6557152635	19	3	34476	5248	good
414402	10219	5	34.924024641	0.3039014374	65	3	15054	4835	good
414816	5259	1	23.578370979	0.7665982204	1	0	0	-5259	bad
415668	20513	2	48.1724846	3.2087611225	83	3	13496	-7017	bad
418394	10072	2	18.704996578	0.848733744	22	3	4360	-5712	bad
421417	17028	1	29.029431896	1.0184804928	39	3	28894	11866	bad
421631	7623	1	38.617385352	3.2580424367	63	3	6189	-1434	bad
422802	8596	2	48.284736482	1.2539356605	7	3	9301	705	bad
423688	123746	2	34.160164271	1.8535249829	98	3	125805	2059	bad
425299	2413	5	27.307323751	0.2217659138	82	3	524	-1889	good
426073	19222	4	36.613278576	3.2032854209	84	3	22363	3141	good
427618	6645	4	44.309377139	1.8453114305	12	3	19694	13049	good
427718	6639	1	49.607118412	6.9103353867	64	3	3753	-2886	bad
427928	309	1	30.557152635	0.6488706366	40	0	0	-309	bad
428249	613	1	47.641341547	2.4366872005	46	3	1021	408	bad
429103	13977	5	19.318275154	3.2991101985	43	3	9102	-4875	good
429924	14137	4	44.583162218	1.7029431896	65	3	12191	-1946	good
430711	75201	4	55.058179329	3.4798083504	96	3	317	-74884	good
434138	2379	1	29.130732375	3.0444900753	137	3	1176	-1203	bad
434370	53349	4	25.467488022	0.4490075291	12	3	61071	7722	good
437748	3741	4	39.362080767	6.2559890486	92	3	4845	1104	good
438765	1746	5	54.800821355	1.916495551	80	3	1295	-451	good
439635	1	1	66.811772758	1.4127310062	3	3	8730	8729	bad
440137	13199	1	32.019164956	2.4585900068	19	3	17522	4323	bad
440606	24372	4	18.877481177	1.8590006845	23	3	42863	18491	good
441920	5846	4	21.267624914	2.1930184805	14	3	3607	-2239	good
442352	51899	2	25.511293634	1.18275154	17	3	54693	2794	bad
443430	912	5	31.403148528	0.7364818617	9	3	1271	359	good
446538	198742	5	64.303901437	2.3956194387	67	3	189759	-8983	good
447184	2959	1	21.199178645	1.9274469541	43	3	1606	-1353	bad
447731	7656	5	55.619438741	1.5961670089	24	3	9402	1746	good
448014	593	1	37.505817933	0.2655715264	59	3	1229	636	bad
450767	424	5	23.545516769	2.2587268994	44	3	356	-68	good
450919	103558	5	22.965092402	3.3593429158	78	3	92628	-10930	good
451642	7266	1	45.927446954	0.7419575633	75	1	0	-7266	bad
451999	2983	4	39.288158795	4.9801505818	109	3	2396	-587	good
452609	583	4	54.518822724	3.3127994524	127	3	34	-549	good
453230	3214	2	20.498288843	2.7214236824	110	3	2160	-1054	bad
454213	1537	1	22.729637235	4.4736481862	59	3	1861	324	bad
454659	121019	4	50.458590007	1.4948665298	99	3	100679	-20340	good
455506	1788	5	33.746748802	4.5831622177	51	3	941	-847	good
456342	7540	1	66.592744695	1.582477755	9	3	5877	-1663	bad
456427	3758	5	71.219712526	0.1889117043	108	3	5207	1449	good
457481	5018	2	31.244353183	6.1327857632	21	3	6001	983	bad
457949	33271	1	71.764544832	0.8377823409	18	3	29017	-4254	bad
459011	32989	2	51.23613963	2.1519507187	12	3	61677	28688	bad
461636	13298	2	31.162217659	0.4928131417	40	3	4768	-8530	bad
463810	31631	1	35.457905544	1.0650239562	14	3	36294	4663	bad
469070	16382	4	32.07118412	1.0075290897	22	3	20097	3715	good
472178	18831	4	36.320328542	1.9055441478	105	3	7344	-11487	good
473018	18281	4	35.321013005	0.6872005476	40	3	22908	4627	good
473782	5933	2	27.000684463	5.6947296372	10	3	12460	6527	bad
474959	5173	5	36.117727584	3.5975359343	50	3	3596	-1577	good
475134	26815	4	25.555099247	0.7748117728	19	3	35908	9093	good
476376	1444	4	72.878850103	2.2203969884	53	3	1981	537	good
476691	1079	4	24.328542094	2.379192334	36	3	1350	271	good
484057	930	1	23.54825462	1.5112936345	88	3	1293	363	bad
488692	13149	1	29.765913758	2.2614647502	11	3	26941	13792	bad
489514	11853	2	38.01779603	0.8815879535	173	3	3258	-8595	bad
489671	25062	5	23.518138261	0.8952772074	50	1	0	-25062	good
489989	7234	5	84.947296372	6.2861054073	10	3	7669	435	good
491361	2312	4	18.368240931	3.9835728953	44	3	1290	-1022	good
491605	24623	4	71.126625599	5.6892539357	100	3	27514	2891	good
494624	62919	5	44.240930869	3.7344284736	40	3	75922	13003	good
496775	5688	5	27.868583162	3.2251882272	27	3	161340	155652	good
497838	35624	5	48.689938398	0.6132785763	44	3	34943	-681	good
498853	9845	4	25.585215606	2.2368240931	50	3	9259	-586	good
502703	32184	5	20.681724846	0.219028063	16	3	17723	-14461	good
503296	5462	1	25.25119781	0.9938398357	37	3	1810	-3652	bad
503673	1539	1	34.529774127	0.8980150582	38	3	4908	3369	bad
504135	665	1	60.295687885	0.8377823409	14	3	3389	2724	bad
504385	202	4	59.433264887	0.8405201916	29	3	761	559	good
505969	55675	2	27.214236824	0.8980150582	15	3	112334	56659	bad
506042	1745	5	30.50513347	2.2231348392	109	3	1725	-20	good
507841	1004	5	69.968514716	0.2299794661	18	3	1122	118	good
508276	8651	1	21.615331964	2.4339493498	34	3	3634	-5017	bad
510363	1228	2	26.004106776	6.8528405202	78	3	3238	2010	bad
510543	12840	2	50.29431896	5.1663244353	34	3	17816	4976	bad
512406	4250	2	32.386036961	5.029431896	16	3	10705	6455	bad
516022	8968	2	60.933607118	1.1471594798	35	3	8120	-848	bad
516144	5715	5	30.168377823	2.3052703628	114	3	13031	7316	good
518943	2617	1	38.165639973	1.7713894593	154	3	4118	1501	bad
519896	26	1	68.563997262	1.8891170431	9	1	0	-26	bad
523235	2985	1	37.976728268	4.9062286105	35	3	1881	-1104	bad
523295	652	2	40.673511294	2.8966461328	61	3	2962	2310	bad
525400	52712	4	46.313483915	0.9171800137	36	3	107009	54297	good
525564	5882	1	62.551676934	1.6919917864	52	3	6187	305	bad
525730	2188	5	44.273785079	3.1047227926	120	3	2696	508	good
526070	132	1	22.757015743	2.5133470226	97	2	0	-132	bad
529145	6475	1	29.04312115	0.6269678303	18	3	13470	6995	bad
529211	10160	1	35.915126626	8.0492813142	89	3	14239	4079	bad
530554	15888	5	32.38329911	3.2881587953	30	3	14623	-1265	good
531749	14574	1	51.258042437	0.7282683094	83	3	16888	2314	bad
532489	6749	1	21.730321697	3.1211498973	60	3	10100	3351	bad
532621	2315	1	55.315537303	2.1574264203	82	3	4459	2144	bad
532955	70	5	63.33744011	0.8076659822	59	3	1138	1068	good
533454	5398	5	25.927446954	0.6242299795	102	3	1432	-3966	good
535875	966	5	18.874743326	1.3716632444	52	3	2627	1661	good
536585	3367	4	53.744010951	1.067761807	24	3	6375	3008	good
538870	9671	2	24.553045859	1.8316221766	44	3	36509	26838	bad
540816	1451	5	29.752224504	1.0732375086	59	3	149	-1302	good
542942	17737	1	29.823408624	2.5872689938	103	3	203	-17534	bad
543140	3601	5	22.568104038	1.2457221081	58	2	0	-3601	good
544279	4772	4	21.160848734	3.0006844627	78	3	8218	3446	good
548325	49450	4	25.77412731	0.2327173169	115	3	3116	-46334	good
